EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
15.721,15.469,16.050,7.436,8.445,9.539,-1.051,5.092,-0.002,0.944,-0.350,1.129,2.625,-0.610,53.333,294817.000,1.000
8.927,17.364,11.000,-2.108,-0.121,2.801,-11.929,-0.685,-0.005,0.945,-0.347,1.068,2.716,-0.732,53.333,294818.000,1.000
8.881,9.361,6.020,-1.715,-1.964,-0.773,-11.721,-3.401,-0.003,0.946,-0.350,1.099,2.716,-0.732,53.333,294819.000,1.000
15.966,2.422,7.220,8.149,4.175,2.207,-2.059,0.208,-0.003,0.946,-0.351,1.068,2.716,-0.732,53.333,294820.000,1.000
20.688,5.603,12.143,14.014,8.513,5.655,2.604,4.691,-0.002,0.945,-0.353,1.068,2.716,-0.671,53.333,294821.000,1.000
16.531,13.363,13.066,7.870,3.744,2.617,-5.105,3.419,-0.003,0.945,-0.356,1.129,2.747,-0.793,53.333,294822.000,1.000
8.701,13.227,7.563,-1.952,-4.879,-4.851,-15.377,-2.266,-0.004,0.945,-0.355,1.129,2.777,-0.641,53.333,294823.000,1.000
6.807,3.273,1.815,-2.341,-6.714,-8.209,-14.689,-4.822,-0.002,0.946,-0.354,1.068,2.747,-0.671,53.333,294824.000,1.000
11.590,-4.841,2.126,6.547,-0.300,-4.036,-4.309,-0.790,-0.002,0.942,-0.355,1.190,2.716,-0.671,53.333,294825.000,1.000
14.125,-1.616,6.411,11.647,4.831,1.298,1.665,4.580,-0.002,0.946,-0.355,1.129,2.747,-0.732,53.333,294826.000,1.000
8.607,7.483,7.414,5.256,1.586,0.479,-4.006,4.759,-0.002,0.945,-0.356,1.190,2.777,-0.763,53.333,294827.000,1.000
0.798,9.685,2.943,-4.177,-4.790,-4.717,-11.702,1.045,-0.003,0.947,-0.355,1.282,2.838,-0.732,53.333,294828.000,1.000
0.205,2.336,-1.175,-3.784,-4.167,-6.135,-8.568,0.619,-0.004,0.944,-0.356,1.373,2.716,-0.793,53.333,294829.000,1.000
6.808,-3.815,0.613,5.725,4.070,-0.805,3.215,6.277,-0.006,0.947,-0.355,1.251,2.808,-0.854,53.333,294830.000,1.000
10.923,0.292,5.772,10.986,9.856,4.806,9.069,12.250,-0.007,0.946,-0.353,1.251,2.747,-0.763,53.333,294831.000,1.000
6.581,9.599,7.304,4.618,6.304,3.832,2.115,12.026,-0.005,0.945,-0.355,1.190,2.808,-0.793,53.333,294832.000,1.000
-0.123,12.125,3.619,-4.396,-0.673,-1.291,-7.157,7.275,-0.005,0.946,-0.352,1.221,2.747,-0.702,53.333,294833.000,1.000
