EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
6.956,1.690,7.947,8.311,8.564,7.508,9.483,3.213,0.000,0.936,-0.378,1.495,6.378,-2.441,53.333,324129.000,1.000
3.333,10.895,8.227,1.534,2.996,4.762,-0.308,-0.052,-0.001,0.936,-0.378,1.343,6.317,-2.441,53.333,324130.000,1.000
0.826,7.060,3.536,-1.976,-1.651,-0.150,-5.911,-4.648,-0.003,0.935,-0.376,1.312,6.256,-2.350,53.333,324131.000,1.000
5.569,-2.583,1.811,4.818,1.730,0.357,-0.362,-3.819,-0.004,0.934,-0.377,1.465,6.012,-2.319,53.333,324132.000,1.000
12.696,-3.400,5.791,13.388,8.059,5.360,6.851,0.626,-0.004,0.931,-0.375,1.282,5.829,-2.167,53.333,324133.000,1.000
13.351,6.709,9.623,11.677,7.462,7.226,3.455,1.140,-0.004,0.934,-0.376,1.373,5.676,-2.167,53.333,324134.000,1.000
6.953,14.199,7.042,0.922,-0.987,2.310,-8.467,-4.945,-0.006,0.934,-0.379,1.312,5.615,-2.258,53.333,324135.000,1.000
1.905,8.161,0.008,-5.838,-7.993,-4.125,-15.325,-11.464,-0.004,0.932,-0.380,1.373,5.432,-2.197,53.333,324136.000,1.000
3.850,-4.926,-3.989,-1.467,-6.787,-5.297,-10.696,-11.548,-0.002,0.933,-0.381,1.404,5.249,-2.075,53.333,324137.000,1.000
7.815,-10.125,-2.107,5.758,-2.187,-2.209,-3.936,-6.681,-0.003,0.931,-0.378,1.495,5.096,-2.045,53.333,324138.000,1.000
5.337,-4.135,0.369,4.035,-3.369,-1.870,-6.743,-4.195,-0.002,0.929,-0.382,1.465,4.852,-1.862,53.333,324139.000,1.000
-3.500,0.929,-2.279,-5.443,-10.719,-7.157,-16.613,-6.991,-0.001,0.928,-0.380,1.587,4.486,-1.892,53.333,324140.000,1.000
-10.132,-5.278,-8.315,-10.436,-15.298,-12.729,-20.443,-9.983,0.000,0.926,-0.379,1.678,4.364,-1.801,53.333,324141.000,1.000
-9.392,-16.975,-11.189,-5.080,-11.503,-12.573,-13.069,-7.806,0.000,0.926,-0.380,1.709,4.333,-1.740,53.333,324142.000,1.000
-6.575,-20.449,-8.834,1.640,-5.199,-8.570,-4.803,-2.771,-0.002,0.926,-0.382,1.862,4.120,-1.709,53.333,324143.000,1.000
-9.769,-13.185,-6.526,-1.706,-5.832,-7.993,-7.289,-1.825,-0.001,0.926,-0.382,1.953,3.845,-1.617,53.333,324144.000,1.000
-17.876,-7.009,-9.018,-12.597,-13.017,-12.990,-16.894,-6.440,-0.003,0.924,-0.379,2.106,3.571,-1.587,53.333,324145.000,1.000
-21.120,-10.903,-12.963,-17.020,-16.208,-16.638,-18.698,-9.560,-0.003,0.926,-0.381,2.197,3.387,-1.617,53.333,324146.000,1.000
-13.992,-17.887,-10.876,-8.112,-8.659,-11.807,-6.407,-4.627,-0.004,0.926,-0.382,2.319,3.143,-1.404,53.333,324147.000,1.000
-3.440,-14.950,-1.960,4.016,2.848,-1.420,8.481,4.985,-0.004,0.927,-0.379,2.472,3.082,-1.495,53.333,324148.000,1.000
-0.719,-2.279,5.377,5.057,6.099,4.194,11.084,9.372,-0.004,0.928,-0.379,2.502,2.869,-1.617,53.333,324149.000,1.000
-6.932,5.854,3.939,-4.688,-0.767,0.242,2.263,4.658,-0.002,0.929,-0.378,2.625,2.655,-1.587,53.333,324150.000,1.000
-11.451,0.601,-2.440,-10.736,-6.841,-6.296,-3.115,-1.878,-0.003,0.929,-0.379,2.655,2.472,-1.617,53.333,324151.000,1.000
-5.698,-8.635,-3.435,-3.726,-2.863,-5.776,3.612,-1.273,-0.004,0.929,-0.377,2.594,2.167,-1.770,53.333,324152.000,1.000
5.828,-6.489,4.332,8.335,6.670,1.539,13.539,5.457,-0.002,0.928,-0.379,2.625,2.014,-1.892,53.333,324153.000,1.000
11.907,7.388,12.935,11.300,9.966,6.280,12.915,9.074,0.000,0.929,-0.381,2.594,1.709,-1.984,53.333,324154.000,1.000
9.259,17.363,13.591,3.847,3.791,2.701,2.014,4.603,-0.001,0.928,-0.384,2.533,1.556,-2.258,53.333,324155.000,1.000
5.332,12.043,7.380,-2.043,-3.264,-4.439,-6.099,-2.772,0.001,0.932,-0.383,2.563,1.465,-2.411,53.333,324156.000,1.000
6.551,-1.243,2.446,1.208,-3.672,-7.404,-4.378,-5.743,0.002,0.933,-0.384,2.563,1.465,-2.411,53.333,324157.000,1.000
9.470,-6.506,2.756,6.419,-1.055,-5.808,-1.121,-4.692,0.006,0.934,-0.385,2.594,1.282,-2.533,53.333,324158.000,1.000
6.713,-0.010,3.742,2.702,-3.759,-5.719,-7.034,-5.891,0.010,0.931,-0.383,2.563,1.404,-2.686,53.333,324159.000,1.000
-1.488,5.955,-0.078,-8.228,-11.835,-9.789,-18.855,-11.474,0.015,0.934,-0.385,2.594,1.495,-2.655,53.333,324160.000,1.000
-6.886,0.825,-6.818,-13.717,-16.262,-12.903,-22.996,-15.777,0.014,0.934,-0.387,2.563,1.556,-2.533,53.333,324161.000,1.000
-4.855,-9.873,-10.031,-7.870,-11.824,-9.721,-14.578,-13.448,0.013,0.938,-0.387,2.594,1.587,-2.411,53.333,324162.000,1.000
-1.441,-12.948,-8.240,-0.403,-5.316,-3.213,-5.122,-7.698,0.012,0.937,-0.390,2.533,1.678,-2.258,53.333,324163.000,1.000
-5.248,-6.283,-7.252,-3.669,-6.843,-1.425,-7.446,-6.546,0.013,0.939,-0.392,2.472,1.862,-2.197,53.333,324164.000,1.000
-15.101,-1.546,-11.800,-15.472,-15.788,-6.451,-18.176,-11.851,0.013,0.941,-0.391,2.258,1.984,-2.045,53.333,324165.000,1.000
-20.802,-7.269,-18.217,-21.474,-20.896,-10.908,-21.964,-16.251,0.014,0.941,-0.389,2.136,2.106,-1.862,53.333,324166.000,1.000
-16.362,-16.046,-18.593,-14.132,-14.739,-7.162,-11.847,-12.475,0.013,0.942,-0.387,1.984,2.197,-1.709,53.333,324167.000,1.000
-7.846,-14.143,-11.172,-2.431,-3.263,2.759,1.757,-2.712,0.014,0.943,-0.389,1.892,2.319,-1.495,53.333,324168.000,1.000
-5.454,-0.948,-3.233,0.403,2.012,9.454,5.060,4.213,0.012,0.946,-0.389,1.770,2.472,-1.282,53.333,324169.000,1.000
-10.578,8.702,-2.363,-5.839,-1.572,7.579,-1.431,3.882,0.010,0.946,-0.393,1.587,2.655,-1.038,53.333,324170.000,1.000
-14.914,3.509,-7.312,-9.311,-5.719,1.673,-5.080,1.028,0.009,0.945,-0.388,1.526,2.838,-0.854,53.333,324171.000,1.000
-12.548,-9.614,-10.654,-3.575,-3.720,-1.026,0.425,1.896,0.005,0.945,-0.386,1.404,2.899,-0.610,53.333,324172.000,1.000
-8.328,-15.306,-9.433,2.834,-0.046,-0.646,6.041,4.998,0.003,0.947,-0.387,1.221,2.991,-0.549,53.333,324173.000,1.000
-10.608,-10.114,-8.631,-1.449,-3.318,-3.357,0.695,3.615,0.001,0.944,-0.385,1.007,2.960,-0.366,53.333,324174.000,1.000
-18.642,-5.681,-12.940,-13.761,-12.822,-11.001,-11.854,-3.672,0.002,0.943,-0.389,0.977,2.899,-0.214,53.333,324175.000,1.000
-22.794,-11.412,-19.121,-19.980,-18.269,-17.183,-16.992,-9.899,-0.001,0.942,-0.385,0.885,2.869,-0.092,53.333,324176.000,1.000
-17.477,-20.974,-19.857,-13.375,-13.549,-15.700,-8.986,-8.746,-0.003,0.938,-0.384,0.702,2.930,0.061,53.333,324177.000,1.000
-8.943,-21.298,-13.893,-3.841,-5.474,-9.584,0.817,-3.242,-0.001,0.938,-0.385,0.641,2.991,0.214,53.333,324178.000,1.000
-6.871,-11.130,-8.118,-4.464,-4.950,-7.649,-0.913,-1.818,-0.002,0.939,-0.385,0.671,2.991,0.214,53.333,324179.000,1.000
-10.675,-2.650,-7.915,-13.224,-11.870,-12.338,-11.072,-6.402,-0.003,0.936,-0.387,0.519,2.808,0.336,53.333,324180.000,1.000
-9.594,-4.030,-9.164,-15.136,-14.589,-15.671,-13.831,-9.036,-0.002,0.938,-0.383,0.580,2.716,0.397,53.333,324181.000,1.000
2.691,-7.808,-3.735,-2.650,-5.535,-9.724,-2.154,-2.483,-0.002,0.937,-0.384,0.519,2.808,0.305,53.333,324182.000,1.000
18.511,-1.742,8.550,13.306,7.916,2.091,11.965,9.221,-0.001,0.933,-0.386,0.458,2.655,0.366,53.333,324183.000,1.000
24.855,12.609,17.892,16.777,12.116,8.282,12.537,14.711,0.000,0.931,-0.386,0.366,2.502,0.427,53.333,324184.000,1.000
18.950,19.943,15.888,6.741,4.049,3.263,-0.204,8.967,0.004,0.930,-0.386,0.427,2.563,0.427,53.333,324185.000,1.000
10.373,10.942,5.667,-2.960,-5.834,-6.185,-11.294,-1.138,0.007,0.926,-0.388,0.519,2.533,0.458,53.333,324186.000,1.000
7.672,-4.837,-2.405,-2.767,-7.985,-10.181,-11.440,-6.246,0.010,0.928,-0.387,0.519,2.563,0.366,53.333,324187.000,1.000
8.370,-10.500,-3.203,1.166,-5.151,-7.666,-7.811,-5.573,0.010,0.928,-0.387,0.610,2.686,0.366,53.333,324188.000,1.000
5.293,-2.635,-1.116,-1.793,-5.911,-5.388,-11.207,-5.211,0.012,0.930,-0.387,0.763,2.747,0.397,53.333,324189.000,1.000
-1.229,5.906,-1.844,-10.060,-10.886,-6.903,-19.006,-7.673,0.013,0.932,-0.386,0.732,2.808,0.427,53.333,324190.000,1.000
-3.027,4.296,-3.908,-11.543,-11.457,-7.469,-18.254,-7.899,0.013,0.933,-0.387,0.763,2.838,0.305,53.333,324191.000,1.000
3.954,-2.145,-1.546,-1.257,-2.588,-1.625,-4.491,-1.130,0.015,0.931,-0.389,0.793,2.899,0.336,53.333,324192.000,1.000
12.556,-0.919,5.641,10.154,8.626,7.676,10.352,8.839,0.015,0.930,-0.387,0.916,3.204,0.305,53.333,324193.000,1.000
