EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-13.979,0.348,-6.340,-9.549,-10.302,-9.859,-13.592,-6.345,-0.021,0.940,-0.388,-1.984,4.486,-0.671,60.000,265992.000,1.000
-9.431,-9.416,-7.340,-1.040,-2.962,-3.919,-2.257,-3.911,-0.022,0.939,-0.387,-2.136,4.547,-0.549,60.000,265993.000,1.000
-6.377,-4.925,-2.460,3.752,3.445,4.027,4.433,0.236,-0.022,0.937,-0.386,-2.319,4.700,-0.519,60.000,265994.000,1.000
-10.898,9.776,0.784,-3.487,1.126,6.239,-1.699,-0.522,-0.023,0.935,-0.386,-2.441,4.730,-0.366,60.000,265995.000,1.000
-17.872,17.080,-1.885,-14.027,-5.278,3.042,-10.863,-5.466,-0.023,0.935,-0.385,-2.472,4.761,-0.336,60.000,265996.000,1.000
-18.261,9.364,-6.089,-14.319,-5.641,1.696,-9.259,-7.867,-0.024,0.933,-0.386,-2.533,4.852,-0.244,60.000,265997.000,1.000
-11.901,-1.110,-5.460,-4.947,1.222,5.875,1.561,-4.599,-0.023,0.932,-0.387,-2.533,4.974,-0.122,60.000,265998.000,1.000
-8.126,0.345,-1.102,-0.158,5.530,10.208,6.551,-0.797,-0.023,0.931,-0.387,-2.533,4.913,-0.153,60.000,265999.000,1.000
-12.950,10.594,-0.219,-8.163,0.110,7.823,-1.910,-2.711,-0.023,0.926,-0.384,-2.563,4.974,-0.183,60.000,266000.000,1.000
-20.230,13.914,-5.474,-19.169,-8.980,0.655,-12.798,-8.408,-0.024,0.924,-0.382,-2.411,5.035,-0.092,60.000,266001.000,1.000
-19.528,4.687,-10.452,-18.201,-10.074,-2.392,-11.023,-9.776,-0.022,0.924,-0.385,-2.350,5.035,0.000,60.000,266002.000,1.000
-10.437,-4.670,-8.238,-5.599,-1.899,2.381,1.697,-3.705,-0.021,0.925,-0.385,-2.197,5.127,0.000,60.000,266003.000,1.000
-3.501,-1.352,-1.199,3.222,4.339,7.932,8.755,3.190,-0.022,0.923,-0.381,-2.045,5.096,0.061,60.000,266004.000,1.000
-6.105,9.597,1.961,-1.318,0.157,5.758,1.171,3.268,-0.021,0.926,-0.382,-1.953,5.249,0.092,60.000,266005.000,1.000
-12.712,11.834,-2.119,-10.277,-8.702,-2.732,-10.368,-2.003,-0.022,0.927,-0.383,-1.801,5.157,0.122,60.000,266006.000,1.000
-12.754,0.128,-7.025,-9.080,-10.337,-8.358,-10.504,-4.417,-0.022,0.926,-0.382,-1.740,5.249,0.244,60.000,266007.000,1.000
-5.147,-12.067,-5.312,2.094,-3.004,-6.585,-0.288,-0.393,-0.022,0.928,-0.382,-1.678,5.249,0.305,60.000,266008.000,1.000
0.473,-10.574,1.502,8.688,2.794,-3.126,4.757,4.360,-0.022,0.927,-0.382,-1.556,5.219,0.397,60.000,266009.000,1.000
-2.882,0.305,5.019,2.069,-1.129,-5.529,-3.612,2.900,-0.019,0.924,-0.380,-1.404,5.188,0.366,60.000,266010.000,1.000
-10.154,3.713,1.084,-8.566,-9.690,-12.678,-15.117,-3.521,-0.020,0.924,-0.383,-1.190,5.249,0.275,60.000,266011.000,1.000
-11.511,-6.666,-5.014,-8.947,-11.909,-16.450,-15.424,-7.385,-0.020,0.927,-0.381,-1.068,5.280,0.244,60.000,266012.000,1.000
-6.070,-18.014,-6.079,0.615,-6.098,-12.959,-5.976,-5.258,-0.021,0.929,-0.383,-0.977,5.157,0.214,60.000,266013.000,1.000
-3.103,-16.113,-2.852,5.737,-1.931,-7.875,-1.802,-2.326,-0.020,0.932,-0.379,-0.854,5.127,0.214,60.000,266014.000,1.000
-9.064,-4.791,-2.562,-2.122,-6.611,-8.411,-10.392,-4.888,-0.020,0.932,-0.380,-0.824,5.188,0.275,60.000,266015.000,1.000
-18.406,-0.228,-8.274,-13.695,-14.339,-13.003,-20.832,-11.139,-0.018,0.933,-0.379,-0.793,5.188,0.244,60.000,266016.000,1.000
-20.944,-8.261,-14.044,-14.420,-13.943,-13.184,-18.443,-13.158,-0.019,0.933,-0.381,-0.702,5.127,0.153,60.000,266017.000,1.000
-15.783,-16.348,-12.984,-4.459,-4.438,-5.462,-5.042,-7.717,-0.020,0.932,-0.381,-0.702,5.157,0.183,60.000,266018.000,1.000
-12.621,-11.418,-7.142,1.400,2.965,3.169,3.150,-1.081,-0.020,0.935,-0.377,-0.641,4.944,0.031,60.000,266019.000,1.000
-18.348,1.330,-5.184,-5.916,-0.408,4.045,-2.619,-0.845,-0.020,0.937,-0.378,-0.549,5.127,0.061,60.000,266020.000,1.000
-27.471,4.973,-10.845,-17.322,-9.303,-1.980,-12.068,-5.949,-0.023,0.937,-0.380,-0.549,5.096,-0.031,60.000,266021.000,1.000
-29.845,-6.167,-18.124,-18.425,-12.145,-6.296,-10.603,-8.680,-0.021,0.934,-0.379,-0.610,4.944,-0.092,60.000,266022.000,1.000
-24.772,-18.570,-19.548,-9.540,-6.884,-4.450,0.334,-5.523,-0.020,0.931,-0.378,-0.610,4.913,-0.122,60.000,266023.000,1.000
-21.548,-17.414,-15.802,-4.838,-3.006,-1.505,5.687,-1.578,-0.020,0.933,-0.378,-0.488,4.730,-0.122,60.000,266024.000,1.000
-26.069,-6.131,-13.904,-12.139,-7.467,-3.995,-1.798,-2.876,-0.021,0.933,-0.378,-0.336,4.730,-0.183,60.000,266025.000,1.000
-32.575,-1.326,-17.169,-21.849,-14.768,-10.379,-11.393,-7.808,-0.022,0.934,-0.378,-0.336,4.730,-0.305,60.000,266026.000,1.000
-31.802,-10.029,-20.873,-20.339,-14.882,-13.275,-9.547,-9.560,-0.023,0.934,-0.376,-0.397,4.700,-0.397,60.000,266027.000,1.000
-23.933,-20.277,-19.188,-9.010,-7.603,-9.987,0.932,-5.872,-0.023,0.933,-0.376,-0.427,4.547,-0.488,60.000,266028.000,1.000
-18.460,-17.934,-13.602,-2.575,-3.190,-6.554,4.443,-2.453,-0.022,0.932,-0.375,-0.366,4.486,-0.366,60.000,266029.000,1.000
-21.070,-6.232,-10.895,-8.793,-8.168,-9.411,-5.772,-5.088,-0.020,0.931,-0.379,-0.275,4.456,-0.427,60.000,266030.000,1.000
-25.428,-0.754,-13.227,-17.399,-15.707,-15.927,-17.591,-11.058,-0.020,0.930,-0.378,-0.153,4.272,-0.488,60.000,266031.000,1.000
-21.560,-7.302,-14.472,-13.813,-14.295,-17.280,-15.847,-12.108,-0.018,0.932,-0.379,-0.061,4.272,-0.458,60.000,266032.000,1.000
-9.856,-13.936,-8.669,0.679,-3.519,-10.408,-2.934,-5.596,-0.019,0.933,-0.376,0.153,4.333,-0.519,60.000,266033.000,1.000
-1.326,-8.191,0.941,10.010,4.710,-2.693,4.124,1.388,-0.020,0.932,-0.377,0.183,4.181,-0.610,60.000,266034.000,1.000
-3.396,4.823,5.235,4.533,1.640,-2.535,-3.530,1.009,-0.021,0.930,-0.380,0.214,4.059,-0.641,60.000,266035.000,1.000
-10.503,8.871,0.837,-6.506,-6.988,-8.369,-14.911,-5.185,-0.023,0.929,-0.381,0.275,3.998,-0.549,60.000,266036.000,1.000
-12.291,-1.262,-5.702,-8.157,-9.148,-11.058,-14.495,-8.725,-0.022,0.930,-0.379,0.427,3.906,-0.580,60.000,266037.000,1.000
-7.891,-12.463,-6.820,-0.288,-2.916,-6.341,-3.361,-5.782,-0.023,0.929,-0.377,0.458,3.845,-0.824,60.000,266038.000,1.000
-6.401,-10.920,-3.612,3.039,1.589,-0.165,2.970,-1.806,-0.025,0.928,-0.377,0.549,3.540,-0.916,60.000,266039.000,1.000
-13.214,-0.597,-3.342,-5.925,-3.025,0.154,-3.395,-3.219,-0.024,0.928,-0.381,0.671,3.448,-1.068,60.000,266040.000,1.000
-21.646,2.629,-8.750,-17.163,-10.820,-3.747,-11.714,-8.161,-0.022,0.929,-0.377,0.916,3.326,-1.038,60.000,266041.000,1.000
-21.783,-7.041,-14.122,-16.555,-10.803,-3.829,-7.861,-9.176,-0.022,0.933,-0.373,0.916,3.174,-1.068,60.000,266042.000,1.000
-14.321,-17.418,-13.322,-5.592,-2.376,2.726,5.636,-3.872,-0.022,0.932,-0.377,0.946,3.082,-1.099,60.000,266043.000,1.000
-10.028,-15.270,-8.406,0.411,3.704,9.215,12.829,1.501,-0.024,0.933,-0.377,0.916,2.838,-1.190,60.000,266044.000,1.000
-15.397,-4.730,-6.870,-6.830,0.122,8.388,6.303,0.514,-0.024,0.934,-0.378,1.038,2.747,-1.251,60.000,266045.000,1.000
-23.971,-1.617,-11.244,-17.290,-6.904,2.356,-2.560,-4.587,-0.022,0.930,-0.376,1.038,2.625,-1.190,60.000,266046.000,1.000
-24.866,-11.220,-15.196,-16.191,-6.003,-0.031,0.887,-5.688,-0.022,0.930,-0.376,1.038,2.502,-1.190,60.000,266047.000,1.000
-17.009,-20.492,-11.878,-3.984,3.821,4.991,14.421,0.283,-0.022,0.931,-0.378,1.190,2.502,-1.129,60.000,266048.000,1.000
-10.004,-15.857,-3.359,4.423,11.683,11.005,21.773,7.076,-0.021,0.930,-0.379,1.312,2.319,-1.099,60.000,266049.000,1.000
-10.688,-2.059,1.981,0.104,9.512,10.103,14.662,7.430,-0.021,0.930,-0.377,1.251,2.319,-1.190,60.000,266050.000,1.000
-13.929,4.071,0.609,-7.913,2.710,3.477,3.716,2.594,-0.020,0.930,-0.379,1.434,2.197,-1.221,60.000,266051.000,1.000
-10.211,-3.482,-1.706,-5.535,2.279,-0.511,3.449,0.139,-0.021,0.930,-0.377,1.465,2.197,-1.221,60.000,266052.000,1.000
0.573,-11.843,1.810,6.585,9.483,2.128,12.243,3.329,-0.021,0.931,-0.377,1.556,2.197,-1.190,60.000,266053.000,1.000
8.215,-7.293,9.219,13.651,14.125,5.702,14.885,6.644,-0.021,0.932,-0.376,1.617,2.197,-1.099,60.000,266054.000,1.000
5.701,5.629,12.188,6.986,8.777,3.054,3.999,3.556,-0.020,0.933,-0.379,1.587,2.075,-1.099,60.000,266055.000,1.000
-1.412,10.348,7.247,-4.075,-0.779,-4.188,-9.355,-4.251,-0.021,0.935,-0.377,1.648,2.167,-1.007,60.000,266056.000,1.000
-2.798,1.088,0.492,-5.110,-3.422,-7.672,-10.698,-9.033,-0.021,0.936,-0.380,1.648,2.045,-0.946,60.000,266057.000,1.000
2.549,-9.108,-0.581,3.667,2.130,-3.768,-1.892,-7.411,-0.020,0.936,-0.379,1.617,2.075,-0.946,60.000,266058.000,1.000
5.477,-6.251,3.190,8.255,5.903,1.475,1.806,-4.545,-0.018,0.938,-0.380,1.526,2.014,-0.916,60.000,266059.000,1.000
-0.006,5.430,4.492,0.860,0.866,0.725,-6.732,-6.357,-0.019,0.941,-0.381,1.587,2.075,-0.702,60.000,266060.000,1.000
-7.848,9.688,0.221,-8.796,-6.919,-4.384,-16.197,-10.682,-0.020,0.940,-0.381,1.526,2.045,-0.671,60.000,266061.000,1.000
